barcode	cluster_id	read_id
*	6117	23285
*	3775	23478
*	3775	23478
*	3401	23481
*	18788	23495
*	18788	23495
*	18788	23495
*	10039	23503
*	20033	23569
*	20033	23569
*	20033	23569
*	5162	23590
*	5162	23590
*	455	23622
*	455	23622
*	455	23622
*	7030	23643
*	19940	23671
*	19940	23671
*	19940	23671
*	6419	23677
*	19808	23687
*	19808	23687
*	19808	23687
*	19872	23689
*	19872	23689
*	19872	23689
*	14840	23726
*	19250	23730
*	19250	23730
*	19250	23730
*	15040	23742
*	14400	23758
*	17291	23773
*	17291	23773
*	17291	23773
*	11879	23781
*	11879	23781
*	11752	23827
*	11752	23827
*	10485	23861
*	1870	23865
*	1606	23884
*	4183	23890
*	4183	23890
*	5016	23912
*	5016	23912
*	6136	23915
*	19669	24031
*	19669	24031
*	19669	24031
*	17126	24038
*	17126	24038
*	17126	24038
*	14388	24060
*	13915	24068
*	19882	24082
*	19882	24082
*	19882	24082
*	19157	24086
*	19157	24086
*	19157	24086
*	17095	24088
*	17095	24088
*	17095	24088
*	8177	241
*	8177	241
*	8177	241
*	11476	24104
*	11476	24104
*	11476	24104
*	19326	24217
*	19326	24217
*	19326	24217
*	19045	24227
*	6296	24338
*	20598	24340
*	20598	24340
*	20598	24340
*	17264	24346
*	15437	24370
*	15437	24370
*	15437	24370
*	20189	24419
*	20189	24419
*	20189	24419
*	17778	24503
*	17778	24503
*	17778	24503
*	6913	24524
*	6913	24524
*	6913	24524
*	11363	24532
*	11363	24532
*	11363	24532
*	1311	24547
*	1311	24547
*	1311	24547
*	12749	24549
*	12749	24549
*	12749	24549
*	4391	24557
*	4391	24557
*	1529	24571
*	5118	24571
*	5118	24571
*	3299	24575
*	3299	24575
*	3299	24575
*	18621	24584
*	18621	24584
*	18621	24584
*	16520	24626
*	16520	24626
*	16520	24626
*	19689	24636
*	19689	24636
*	19689	24636
*	16803	24642
*	16803	24642
*	16803	24642
*	17151	24677
*	17151	24677
*	17151	24677
*	17101	24803
*	17101	24803
*	17101	24803
*	11749	24812
*	11749	24812
*	20654	24820
*	20654	24820
*	20654	24820
*	13353	24823
*	13353	24823
*	13353	24823
*	9840	24826
*	9840	24826
*	9840	24826
*	787	24831
*	787	24831
*	787	24831
*	6351	24833
*	6012	24847
*	6012	24847
*	4494	24849
*	4494	24849
*	10026	24853
*	5578	24859
*	3575	24877
*	3575	24877
*	6429	249
*	6082	24907
*	19349	24917
*	19349	24917
*	19349	24917
*	3293	24935
*	3293	24935
*	3293	24935
*	18091	24952
*	18091	24952
*	18091	24952
*	20389	24956
*	20389	24956
*	20389	24956
*	15542	24958
*	15542	24958
*	15542	24958
*	5310	24965
*	5310	24965
*	18875	24968
*	18875	24968
*	18875	24968
*	17224	24970
*	15659	24970
*	17224	24970
*	15659	24970
*	17224	24970
*	15659	24970
*	1622	24971
*	1622	24971
*	1622	24971
*	4580	24972
*	15633	24972
*	18661	24972
*	4580	24972
*	15633	24972
*	18661	24972
*	4580	24972
*	15633	24972
*	18661	24972
*	3743	24974
*	3743	24974
*	15880	24976
*	15880	24976
*	15880	24976
*	18793	24981
*	18793	24981
*	18793	24981
*	13172	24982
*	13172	24982
*	13172	24982
*	1550	24984
*	14077	24984
*	14077	24984
*	14077	24984
*	16192	24985
*	19433	24991
*	19433	24991
*	19433	24991
*	16448	24993
*	16448	24993
*	16448	24993
*	20090	24995
*	20090	24995
*	20090	24995
*	4530	25010
*	4530	25010
*	20595	25013
*	20595	25013
*	20595	25013
*	17168	25041
*	17168	25041
*	17168	25041
*	3762	25046
*	3762	25046
*	17962	25071
*	17962	25071
*	17962	25071
*	19085	25087
*	19085	25087
*	19085	25087
*	15751	25156
*	1575	25167
*	19560	25169
*	19560	25169
*	19560	25169
*	17953	25194
*	17953	25194
*	17953	25194
*	20261	25222
*	20261	25222
*	20261	25222
*	4094	25232
*	4094	25232
*	4094	25232
*	17123	25240
*	17123	25240
*	17123	25240
*	8689	253
*	8689	253
*	8689	253
*	19911	25302
*	19911	25302
*	19911	25302
*	20239	25303
*	20239	25303
*	20239	25303
*	20094	25313
*	20094	25313
*	20094	25313
*	14517	25405
*	15990	25564
*	20207	25568
*	20207	25568
*	20207	25568
*	1333	25578
*	1333	25578
*	1333	25578
*	6789	25594
*	6789	25594
*	1377	25602
*	1377	25602
*	1377	25602
*	12246	25612
*	5526	25612
*	5526	25612
*	12246	25612
*	5526	25612
*	17917	25632
*	17917	25632
*	17917	25632
*	20614	25644
*	20614	25644
*	20614	25644
*	16233	25646
*	16233	25646
*	16233	25646
*	19853	25648
*	19853	25648
*	19853	25648
*	20177	25652
*	20177	25652
*	20177	25652
*	12260	25654
*	12260	25654
*	10460	25658
*	20163	25664
*	20163	25664
*	20163	25664
*	17235	25675
*	17235	25675
*	17235	25675
*	4564	25687
*	4564	25687
*	18030	25735
*	18030	25735
*	18030	25735
*	3921	25745
*	3921	25745
*	18307	25751
*	18307	25751
*	18307	25751
*	4306	25764
*	4306	25764
*	6199	25765
*	6199	25765
*	4823	25769
*	19076	25769
*	4823	25769
*	19076	25769
*	4823	25769
*	19076	25769
*	2546	25772
*	20437	25773
*	20437	25773
*	20437	25773
*	19345	25779
*	19345	25779
*	19345	25779
*	9057	25835
*	9057	25835
*	9057	25835
*	19435	25895
*	19435	25895
*	19435	25895
*	1720	25907
*	6501	25921
*	19702	25922
*	19702	25922
*	19702	25922
*	17259	25946
*	17259	25946
*	17259	25946
*	13920	25958
*	19849	25985
*	19849	25985
*	19849	25985
*	399	260
*	399	260
*	399	260
*	13004	26000
*	13004	26000
*	20236	26002
*	20236	26002
*	20236	26002
*	7530	26028
*	13859	26059
*	13859	26059
*	13859	26059
*	14820	26071
*	14820	26071
*	14820	26071
*	16302	26075
*	410	26082
*	410	26082
*	410	26082
*	7915	26087
*	7915	26087
*	7915	26087
*	18448	26099
*	18448	26099
*	18448	26099
*	8966	261
*	8966	261
*	8966	261
*	20267	26102
*	20267	26102
*	20267	26102
*	19826	26111
*	19826	26111
*	19826	26111
*	16278	26113
*	17912	26117
*	17912	26117
*	17912	26117
*	18025	26130
*	18025	26130
*	18025	26130
*	5458	26136
*	5458	26136
*	4720	26160
*	4720	26160
*	7537	26162
*	7537	26162
*	10864	26168
*	10864	26168
*	10864	26168
*	18261	26171
*	18261	26171
*	18261	26171
*	20211	26173
*	20211	26173
*	20211	26173
*	19192	26181
